Title,Score,Year,Genre,Released,Critics,Perspective,Gameplay,Interface,Setting
The Cosmic Wheel Sisterhood,8.0,2023,['Adventure'],August,86,['3rd-person'],,"['Direct control', 'Menu structures']","['Fantasy', 'Sci-fi / futuristic']"
Cocoon,8.0,2023,['Puzzle'],September,89,['Diagonal-down'],['Platform'],['Direct control'],['Fantasy']
Enter the Gungeon,8.0,2017,['Action'],April,85,['Diagonal-down'],"['Roguelike', 'Shooter']",,['Fantasy']
Bayonetta,8.0,2018,['Action'],October,87,['Behind view'],"['Hack and slash', 'Quick', 'Time', 'Events']",['Direct control'],['Fantasy']
Capcom Fighting Collection,8.0,2022,"['Action', 'Compilation', 'Puzzle']",June,83,['Side view'],"['Falling block puzzle', 'Fighting', 'Tile matching puzzle']",['Direct control'],
Signalis,8.0,2022,['Action'],October,81,['Diagonal-down'],"['Shooter', 'Survival horror']",['Direct control'],['Sci-fi / futuristic']
Overcooked! 2,8.0,2018,['Action'],August,84,['Diagonal-down'],"['Party game', 'Time management']",['Direct control'],
Baba Is You,8.0,2019,['Puzzle'],March,86,['Diagonal-down'],,['Direct control'],['Fantasy']
Shovel Knight: Dig,8.0,2022,['Action'],September,82,['Side view'],['Platform'],['Direct control'],['Fantasy']
Dreamscaper,8.0,2021,['Role-playing (RPG)'],August,87,['Diagonal-down'],"['Action', 'Role-playing', 'Hack and slash']",['Direct control'],['Fantasy']
Ender Lilies: Quietus of the Knights,8.0,2021,['Action'],January,85,['Side view'],['Metroidvania'],['Direct control'],['Fantasy']
Assault Android Cactus,8.0,2019,['Action'],August,84,['Top-down'],['Shooter'],['Direct control'],['Sci-fi / futuristic']
Everhood,8.0,2021,['Adventure'],March,83,['3rd-person'],"['Music / rhythm', 'Role-playing elements']",['Direct control'],"['Fantasy', 'Sci-fi / futuristic']"
Roots of Pacha,8.0,2023,['Simulation'],April,85,['Diagonal-down'],['City building / construction simulation'],['Direct control'],
Thronebreaker: The Witcher Tales,8.0,2020,['Strategy / tactics'],October,85,['3rd-person'],"['Cards / tiles', 'Puzzle elements']","['Direct control', 'Point and select']",['Fantasy']
Wayward Strand,8.0,2022,['Adventure'],September,80,"['3rd-person', 'Side view']",['Graphic adventure'],['Direct control'],
Freedom Planet 2,8.0,2024,['Action'],September,82,['Side view'],['Platform'],['Direct control'],"['Fantasy', 'Sci-fi / futuristic']"
Severed,8.0,2017,['Action'],April,83,['1st-person'],['Role-playing elements'],,
Piofiore: Episodio 1926  (NSFW),8.0,2020,"['Adventure', 'Simulation']",November,87,['1st-person'],['Visual novel'],['Point and select'],"['Europe', 'Interwar']"
Hotline Miami Collection,8.0,2019,['Compilation'],June,86,,,,
Disgaea 7: Vows of the Virtueless,8.0,2023,"['Strategy / tactics', 'Role-playing (RPG)']",October,86,['Diagonal-down'],"['Tactical', 'Role-playing']",['Menu structures'],['Fantasy']
Superhot,8.0,2019,['Action'],February,84,['1st-person'],['Shooter'],['Direct control'],['Fantasy']
Ring Fit Adventure,8.0,2019,"['Sports', 'Educational']",October,82,"['3rd-person', 'Behind view']","['Mini-games', 'Role-playing elements']",['Motion control'],['Fantasy']
Fire Emblem Warriors: Three Hopes,8.0,2022,"['Action', 'Role-playing (RPG)']",June,83,['3rd-person'],['Hack and slash'],['Direct control'],['Fantasy']
Ib,8.0,2023,['Adventure'],April,83,['Diagonal-down'],"['Graphic adventure', 'Puzzle elements']",['Direct control'],
Gris,8.0,2018,"['Action', 'Puzzle']",December,86,['Side view'],['Platform'],['Direct control'],
Rolling Gunner,8.0,2019,['Action'],August,88,['Behind view'],"['Arcade', 'Shooter']",['Direct control'],"['Fantasy', 'Sci-fi / futuristic']"
Unpacking,8.0,2021,"['Simulation', 'Puzzle']",November,83,['Diagonal-down'],,['Point and select'],['Contemporary']
No More Heroes 2: Desperate Struggle,8.0,2020,['Action'],January,81,['3rd-person'],"['Hack and slash', 'Quick', 'Time', 'Events']",,
Yooka-Laylee and the Impossible Lair,8.0,2019,['Action'],October,86,"['3rd-person', 'Diagonal-down', 'Side view']","['Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Clubhouse Games: 51 Worldwide Classics,8.0,2020,"['Strategy / tactics', 'Sports', 'Gambling', 'Puzzle']",June,84,"['Diagonal-down', 'Top-down']","['Board game', 'Cards / tiles', 'Chess', 'Tile matching puzzle']",['Direct control'],
Hatsune Miku: Project DIVA Mega Mix,8.0,2020,['Action'],February,83,,['Music / rhythm'],"['Direct control', 'Motion control']",
Final Fantasy X | X-2: HD Remaster,8.0,2019,"['Role-playing (RPG)', 'Compilation']",December,86,['Behind view'],,,['Fantasy']
Slay the Spire,8.0,2019,['Strategy / tactics'],November,88,['Side view'],"['Cards / tiles', 'Roguelike']",['Point and select'],['Fantasy']
Drainus,8.0,2023,['Action'],May,84,['Side view'],['Shooter'],['Direct control'],
Mega Man Zero/ZX Legacy Collection,8.0,2020,"['Action', 'Compilation']",February,84,['Side view'],['Platform'],['Direct control'],['Sci-fi / futuristic']
UnderMine,8.0,2021,['Action'],August,85,['Diagonal-down'],"['Role-playing elements', 'Roguelike']",['Direct control'],['Fantasy']
Cyber Shadow,8.0,2021,['Action'],January,81,['Side view'],['Platform'],['Direct control'],['Sci-fi / futuristic']
Death Mark II,8.0,2022,['Adventure'],November,84,"['1st-person', 'Side view']",['Puzzle elements'],['Direct control'],"['Contemporary', 'Fantasy']"
Oxenfree II: Lost Signals,8.0,2023,['Adventure'],July,77,['Side view'],"['Graphic adventure', 'Puzzle elements']",['Direct control'],['Fantasy']
Atelier Ryza 2: Lost Legends & the Secret Fairy,8.0,2020,['Role-playing (RPG)'],December,81,['3rd-person'],"['Japanese-style', 'Role-playing']",['Menu structures'],['Fantasy']
Duck Game,8.0,2019,['Action'],May,84,['Side view'],"['Fighting', 'Platform', 'Shooter']",['Direct control'],
Deemo,8.0,2017,['Action'],November,81,,['Music / rhythm'],,['Fantasy']
Blazing Chrome,8.0,2019,['Action'],July,82,"['Behind view', 'Side view']","['Platform', 'Shooter']",['Direct control'],"['Fantasy', 'Sci-fi / futuristic']"
Meg's Monster,8.0,2023,['Role-playing (RPG)'],March,83,['Diagonal-down'],"['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
Borderlands: Legendary Collection,8.0,2020,"['Action', 'Compilation']",May,86,['1st-person'],"['Action', 'Role-playing', 'Shooter']",['Direct control'],['Fantasy']
Thimbleweed Park,8.0,2017,['Adventure'],March,83,['3rd-person'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],"['North', 'America']"
Dusk,8.0,2021,['Action'],January,89,['1st-person'],['Shooter'],['Direct control'],['Fantasy']
Blaster Master Zero III,8.0,2021,['Action'],July,86,"['Diagonal-down', 'Side view']","['Metroidvania', 'Shooter']",['Direct control'],['Sci-fi / futuristic']
The Legend of Heroes: Trails from Zero,8.0,2021,['Role-playing (RPG)'],October,86,['Diagonal-down'],"['Japanese-style', 'Role-playing']","['Direct control', 'Menu structures']",['Fantasy']
New Pokémon Snap,7.9,2021,['Simulation'],April,81,['1st-person'],['Rail shooter'],,['Fantasy']
Mini Motorways,7.9,2022,['Strategy / tactics'],September,83,['Top-down'],,['Point and select'],
Atelier Ryza: Ever Darkness & the Secret Hideout,7.9,2019,['Role-playing (RPG)'],September,81,"['1st-person', '3rd-person', 'Behind view']","['Japanese-style', 'Role-playing']","['Direct control', 'Point and select']",['Fantasy']
Mushihimesama,7.9,2021,['Action'],October,83,['Top-down'],"['Arcade', 'Shooter']",,['Sci-fi / futuristic']
Dragon Quest Builders,7.9,2018,"['Action', 'Role-playing (RPG)']",January,82,['3rd-person'],"['Action', 'Role-playing', 'Sandbox / open world']",,['Fantasy']
Two Point Hospital: Jumbo Edition,7.9,2021,['Compilation'],March,85,,,,
Café Enchanté,7.9,2019,"['Adventure', 'Simulation']",October,83,"['Text-based /', 'Spreadsheet']",['Visual novel'],['Point and select'],"['Fantasy', 'Japan']"
Moonlighter,7.9,2018,['Action'],May,81,['Diagonal-down'],"['Role-playing elements', 'Roguelike']",['Direct control'],['Fantasy']
Jenny LeClue: Detectivu,7.9,2020,['Adventure'],September,87,['Side view'],['Graphic adventure'],,['Contemporary']
The Witcher 3: Wild Hunt - Complete Edition,7.9,2019,['Compilation'],August,88,,,,
Voez,7.9,2017,['Action'],May,84,,['Music / rhythm'],,
Danganronpa Decadence,7.9,2021,['Compilation'],December,84,,,,
What the Golf?,7.9,2020,"['Action', 'Sports']",September,83,"['Diagonal-down', 'Side view']",,['Direct control'],['Fantasy']
Botany Manor,7.9,2024,['Simulation'],April,84,['1st-person'],['Puzzle elements'],['Direct control'],"['Europe', 'Industrial', 'Age']"
Red Dead Redemption,7.9,2023,"['Action', 'Compilation']",August,82,['Behind view'],"['Sandbox / open world', 'Shooter']",['Direct control'],"['North', 'America', 'Western']"
The Legend of Heroes: Trails of Cold Steel III,7.9,2020,['Role-playing (RPG)'],September,86,['Behind view'],"['Japanese-style', 'Role-playing']",,['Fantasy']
CTR: Crash Team Racing - Nitro-Fueled,7.9,2019,['Racing / Driving'],June,83,['Behind view'],,['Direct control'],['Fantasy']
Valkyria Chronicles 4,7.9,2018,"['Strategy / tactics', 'Role-playing (RPG)']",March,86,['Behind view'],,"['Direct control', 'Point and select']",
Gnosia,7.9,2020,"['Adventure', 'Puzzle']",June,82,['1st-person'],['Visual novel'],['Menu structures'],['Sci-fi / futuristic']
Fuga: Melodies of Steel 2,7.9,2023,['Role-playing (RPG)'],May,82,['Side view'],"['Japanese-style', 'Role-playing']",['Menu structures'],['Sci-fi / futuristic']
Devil May Cry 3: Dante's Awakening - Special Edition,7.9,2020,['Action'],January,82,['3rd-person'],['Hack and slash'],,['Fantasy']
Collection of Mana,7.9,2017,"['Action', 'Role-playing (RPG)', 'Compilation']",June,81,['Diagonal-down'],,,['Fantasy']
Golf Story,7.9,2017,['Adventure'],September,81,['Diagonal-down'],,,
Ion Fury,7.9,2020,['Action'],February,81,"['1st-person', 'Behind view']",['Shooter'],['Direct control'],"['Cyberpunk / dark sci-fi', 'North', 'America']"
Windjammers 2,7.9,2022,"['Action', 'Sports']",January,80,['Top-down'],,['Direct control'],['Fantasy']
Wandersong,7.9,2018,['Adventure'],September,86,['Side view'],"['Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Llamasoft: The Jeff Minter Story,7.9,2024,"['Action', 'Educational', 'Compilation']",March,83,['3rd-person'],['Shooter'],['Direct control'],['Sci-fi / futuristic']
Necrobarista,7.9,2021,['Adventure'],July,80,['3rd-person'],['Visual novel'],['Menu structures'],"['Contemporary', 'Fantasy']"
Warframe,7.9,2018,['Action'],March,78,['Behind view'],"['Role-playing elements', 'Shooter']",,['Sci-fi / futuristic']
Ys VIII: Lacrimosa of Dana,7.9,2018,['Role-playing (RPG)'],July,84,['Behind view'],"['Action', 'Role-playing', 'Hack and slash']",['Direct control'],['Fantasy']
Moon: Remix RPG Adventure,7.9,2019,['Adventure'],October,82,"['3rd-person', 'Top-down']",,,"['Fantasy', 'Sci-fi / futuristic']"
Lil' Guardsman,7.9,2024,['Adventure'],January,85,['Side view'],"['Puzzle elements', 'Role-playing elements']",['Point and select'],['Fantasy']
NeuroVoider,7.9,2017,['Action'],August,82,['Diagonal-down'],"['Arcade', 'Shooter']",,['Sci-fi / futuristic']
Snufkin: Melody of Moominvalley,7.9,2024,['Adventure'],March,82,['3rd-person'],,['Direct control'],['Fantasy']
Terraria,7.9,2019,['Action'],May,82,['Side view'],"['Platform', 'Role-playing elements', 'Sandbox / open world']",,['Fantasy']
Killer Queen Black,7.9,2019,"['Action', 'Strategy / tactics']",October,86,['Side view'],"['Arcade', 'Platform']","['Direct control', 'Multiple units/characters control']",['Fantasy']
Crawl,7.9,2017,['Action'],August,85,['Diagonal-down'],"['Hack and slash', 'Role-playing elements']",,['Fantasy']
Vengeful Guardian: Moonrider,7.9,2023,['Action'],January,80,['Side view'],"['Metroidvania', 'Platform']",['Direct control'],['Sci-fi / futuristic']
Yoshi's Crafted World,7.9,2019,['Action'],March,81,"['3rd-person', 'Side view']","['Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Owlboy,7.9,2018,['Action'],November,85,['Side view'],"['Metroidvania', 'Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Shin Megami Tensei: Persona 3 - Portable,7.9,2023,['Role-playing (RPG)'],November,87,['Diagonal-down'],"['Japanese-style', 'Role-playing']",,
Wilmot's Warehouse,7.9,2019,['Puzzle'],October,85,['Top-down'],,['Direct control'],
Mega Man X: Legacy Collection,7.9,2018,"['Action', 'Compilation']",July,86,['Side view'],['Platform'],,['Sci-fi / futuristic']
Final Fantasy VII,7.9,2019,['Role-playing (RPG)'],1997,92,['3rd-person'],"['Japanese-style', 'Role-playing']",,"['Cyberpunk / dark sci-fi', 'Fantasy', 'Sci-fi / futuristic']"
Lumines: Remastered,7.9,2018,"['Action', 'Puzzle']",June,84,['3rd-person'],,['Direct control'],
Hyrule Warriors: Age of Calamity,7.9,2020,['Action'],November,80,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
The Great Ace Attorney Chronicles,7.9,2021,"['Adventure', 'Compilation']",July,86,['3rd-person'],['Puzzle elements'],,
Iconoclasts,7.9,2018,['Action'],January,82,['Side view'],"['Metroidvania', 'Platform']",,['Sci-fi / futuristic']
Fight'N Rage,7.9,2019,['Action'],September,81,['Side view'],"[""Beat 'em up / brawler""]",['Direct control'],
Mini Metro,7.9,2018,['Strategy / tactics'],August,82,['Top-down'],,,
Tales of Vesperia: Definitive Edition,7.9,2019,['Role-playing (RPG)'],January,84,['3rd-person'],"['Action', 'Role-playing']",['Direct control'],['Fantasy']
Into the Breach,7.9,2018,['Strategy / tactics'],February,87,['Diagonal-down'],"['Role-playing elements', 'Turn-based tactics']",['Point and select'],['Sci-fi / futuristic']
No More Heroes,7.9,2020,"['Action', 'Racing / Driving']",December,82,"['1st-person', 'Behind view']","['Hack and slash', 'Quick', 'Time', 'Events']",,
Rive: Ultimate Edition,7.9,2017,['Action'],November,82,['Side view'],"['Platform', 'Shooter']",,
Sayonara Wild Hearts,7.9,2019,"['Action', 'Racing / Driving']",September,85,"['1st-person', '3rd-person', 'Behind view']","['Arcade', 'Fighting', 'Shooter']",['Direct control'],['Fantasy']
Torchlight II,7.9,2019,['Role-playing (RPG)'],September,85,['Diagonal-down'],"['Action', 'Role-playing', 'Hack and slash']",['Point and select'],['Fantasy']
Phoenix Wright: Ace Attorney Trilogy,7.9,2019,"['Adventure', 'Simulation', 'Compilation']",May,84,['1st-person'],['Puzzle elements'],,
Pikmin 1+2,7.9,2023,['Compilation'],June,85,,,,
Dungeons of Dreadrock,7.9,2022,"['Action', 'Role-playing (RPG)']",January,81,['Top-down'],['Puzzle elements'],['Direct control'],['Fantasy']
Citizen Sleeper,7.9,2022,['Role-playing (RPG)'],May,82,['Diagonal-down'],,"['Menu structures', 'Point and select']",['Cyberpunk / dark sci-fi']
Atelier Mysterious Trilogy Deluxe Pack,7.9,2021,['Compilation'],April,82,,,,
The Alliance Alive: HD Remastered,7.9,2019,['Role-playing (RPG)'],October,79,['3rd-person'],"['Japanese-style', 'Role-playing']",,['Fantasy']
Crypt Custodian,7.9,2024,['Action'],August,84,['Diagonal-down'],"['Metroidvania', 'Puzzle elements', 'Role-playing elements']",['Direct control'],['Fantasy']
Genesis Noir,7.8,2021,['Adventure'],March,79,"['3rd-person', 'Side view']",['Puzzle elements'],['Point and select'],['Fantasy']
Sam & Max: Save the World,7.9,2020,"['Adventure', 'Compilation']",December,82,['3rd-person'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],
Bravely Default II,7.8,2021,['Role-playing (RPG)'],February,80,['3rd-person'],,['Direct control'],['Fantasy']
Monster Hunter: Stories 2 - Wings of Ruin,7.8,2021,['Role-playing (RPG)'],July,81,['3rd-person'],"['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
Darkest Dungeon,7.8,2018,['Role-playing (RPG)'],February,83,['Side view'],"['Tactical', 'Role-playing']",['Point and select'],['Fantasy']
"Root Double: Before Crime, After Days - Xtend Edition",7.8,2020,['Adventure'],June,80,['1st-person'],['Visual novel'],,
Shantae: 1/2 Genie Hero - Ultimate Edition,7.8,2018,"['Compilation', 'Special edition']",April,84,,,,
Hyrule Warriors: Definitive Edition,7.8,2018,['Action'],March,82,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
Superlative Night Dreams: Cotton Rock'n Roll,7.8,2021,['Action'],September,81,['Side view'],"['Arcade', 'Shooter']",['Direct control'],['Fantasy']
Worms: W.M.D.,7.8,2017,['Strategy / tactics'],August,79,['Side view'],['Artillery'],"['Direct control', 'Multiple units/characters control']",
Tunic,7.8,2022,['Action'],March,85,['Diagonal-down'],"['Metroidvania', 'Puzzle elements']",['Direct control'],['Fantasy']
Ace Combat 7: Skies Unknown (Deluxe Edition),7.8,2024,['Special edition'],January,84,,,,
The Darkside Detective,7.8,2018,['Adventure'],July,79,['Side view'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],['Fantasy']
Night in the Woods,7.8,2018,['Adventure'],February,82,['Side view'],['Graphic adventure'],,['Fantasy']
Overboard!,7.8,2021,['Adventure'],June,86,"['1st-person', '3rd-person', 'Side view', 'Top-down']","['Interactive fiction / text adventure', 'Puzzle elements']",['Point and select'],
Melatonin,7.8,2022,['Action'],December,82,"['1st-person', 'Diagonal-down', 'Side view']",['Music / rhythm'],['Direct control'],
Ys VIII: Lacrimosa of Dana,7.9,2018,['Role-playing (RPG)'],July,84,['Behind view'],"['Action', 'Role-playing', 'Hack and slash']",['Direct control'],['Fantasy']
Moon: Remix RPG Adventure,7.9,2019,['Adventure'],October,82,"['3rd-person', 'Top-down']",,,"['Fantasy', 'Sci-fi / futuristic']"
Lil' Guardsman,7.9,2024,['Adventure'],January,85,['Side view'],"['Puzzle elements', 'Role-playing elements']",['Point and select'],['Fantasy']
NeuroVoider,7.9,2017,['Action'],August,82,['Diagonal-down'],"['Arcade', 'Shooter']",,['Sci-fi / futuristic']
Snufkin: Melody of Moominvalley,7.9,2024,['Adventure'],March,82,['3rd-person'],,['Direct control'],['Fantasy']
Terraria,7.9,2019,['Action'],May,82,['Side view'],"['Platform', 'Role-playing elements', 'Sandbox / open world']",,['Fantasy']
Killer Queen Black,7.9,2019,"['Action', 'Strategy / tactics']",October,86,['Side view'],"['Arcade', 'Platform']","['Direct control', 'Multiple units/characters control']",['Fantasy']
Crawl,7.9,2017,['Action'],August,85,['Diagonal-down'],"['Hack and slash', 'Role-playing elements']",,['Fantasy']
Vengeful Guardian: Moonrider,7.9,2023,['Action'],January,80,['Side view'],"['Metroidvania', 'Platform']",['Direct control'],['Sci-fi / futuristic']
Yoshi's Crafted World,7.9,2019,['Action'],March,81,"['3rd-person', 'Side view']","['Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Owlboy,7.9,2018,['Action'],November,85,['Side view'],"['Metroidvania', 'Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Shin Megami Tensei: Persona 3 - Portable,7.9,2023,['Role-playing (RPG)'],November,87,['Diagonal-down'],"['Japanese-style', 'Role-playing']",,
Wilmot's Warehouse,7.9,2019,['Puzzle'],October,85,['Top-down'],,['Direct control'],
Mega Man X: Legacy Collection,7.9,2018,"['Action', 'Compilation']",July,86,['Side view'],['Platform'],,['Sci-fi / futuristic']
Final Fantasy VII,7.9,2019,['Role-playing (RPG)'],1997,92,['3rd-person'],"['Japanese-style', 'Role-playing']",,"['Cyberpunk / dark sci-fi', 'Fantasy', 'Sci-fi / futuristic']"
Lumines: Remastered,7.9,2018,"['Action', 'Puzzle']",June,84,['3rd-person'],,['Direct control'],
Hyrule Warriors: Age of Calamity,7.9,2020,['Action'],November,80,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
The Great Ace Attorney Chronicles,7.9,2021,"['Adventure', 'Compilation']",July,86,['3rd-person'],['Puzzle elements'],,
Iconoclasts,7.9,2018,['Action'],January,82,['Side view'],"['Metroidvania', 'Platform']",,['Sci-fi / futuristic']
Fight'N Rage,7.9,2019,['Action'],September,81,['Side view'],"[""Beat 'em up / brawler""]",['Direct control'],
Mini Metro,7.9,2018,['Strategy / tactics'],August,82,['Top-down'],,,
Tales of Vesperia: Definitive Edition,7.9,2019,['Role-playing (RPG)'],January,84,['3rd-person'],"['Action', 'Role-playing']",['Direct control'],['Fantasy']
Into the Breach,7.9,2018,['Strategy / tactics'],February,87,['Diagonal-down'],"['Role-playing elements', 'Turn-based tactics']",['Point and select'],['Sci-fi / futuristic']
No More Heroes,7.9,2020,"['Action', 'Racing / Driving']",December,82,"['1st-person', 'Behind view']","['Hack and slash', 'Quick', 'Time', 'Events']",,
Rive: Ultimate Edition,7.9,2017,['Action'],November,82,['Side view'],"['Platform', 'Shooter']",,
Sayonara Wild Hearts,7.9,2019,"['Action', 'Racing / Driving']",September,85,"['1st-person', '3rd-person', 'Behind view']","['Arcade', 'Fighting', 'Shooter']",['Direct control'],['Fantasy']
Torchlight II,7.9,2019,['Role-playing (RPG)'],September,85,['Diagonal-down'],"['Action', 'Role-playing', 'Hack and slash']",['Point and select'],['Fantasy']
Phoenix Wright: Ace Attorney Trilogy,7.9,2019,"['Adventure', 'Simulation', 'Compilation']",May,84,['1st-person'],['Puzzle elements'],,
Pikmin 1+2,7.9,2023,['Compilation'],June,85,,,,
Dungeons of Dreadrock,7.9,2022,"['Action', 'Role-playing (RPG)']",January,81,['Top-down'],['Puzzle elements'],['Direct control'],['Fantasy']
Citizen Sleeper,7.9,2022,['Role-playing (RPG)'],May,82,['Diagonal-down'],,"['Menu structures', 'Point and select']",['Cyberpunk / dark sci-fi']
Atelier Mysterious Trilogy Deluxe Pack,7.9,2021,['Compilation'],April,82,,,,
The Alliance Alive: HD Remastered,7.9,2019,['Role-playing (RPG)'],October,79,['3rd-person'],"['Japanese-style', 'Role-playing']",,['Fantasy']
Crypt Custodian,7.9,2024,['Action'],August,84,['Diagonal-down'],"['Metroidvania', 'Puzzle elements', 'Role-playing elements']",['Direct control'],['Fantasy']
Genesis Noir,7.8,2021,['Adventure'],March,79,"['3rd-person', 'Side view']",['Puzzle elements'],['Point and select'],['Fantasy']
Sam & Max: Save the World,7.9,2020,"['Adventure', 'Compilation']",December,82,['3rd-person'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],
Bravely Default II,7.8,2021,['Role-playing (RPG)'],February,80,['3rd-person'],,['Direct control'],['Fantasy']
Monster Hunter: Stories 2 - Wings of Ruin,7.8,2021,['Role-playing (RPG)'],July,81,['3rd-person'],"['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
Darkest Dungeon,7.8,2018,['Role-playing (RPG)'],February,83,['Side view'],"['Tactical', 'Role-playing']",['Point and select'],['Fantasy']
"Root Double: Before Crime, After Days - Xtend Edition",7.8,2020,['Adventure'],June,80,['1st-person'],['Visual novel'],,
Shantae: 1/2 Genie Hero - Ultimate Edition,7.8,2018,"['Compilation', 'Special edition']",April,84,,,,
Hyrule Warriors: Definitive Edition,7.8,2018,['Action'],March,82,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
Superlative Night Dreams: Cotton Rock'n Roll,7.8,2021,['Action'],September,81,['Side view'],"['Arcade', 'Shooter']",['Direct control'],['Fantasy']
Worms: W.M.D.,7.8,2017,['Strategy / tactics'],August,79,['Side view'],['Artillery'],"['Direct control', 'Multiple units/characters control']",
Tunic,7.8,2022,['Action'],March,85,['Diagonal-down'],"['Metroidvania', 'Puzzle elements']",['Direct control'],['Fantasy']
Ace Combat 7: Skies Unknown (Deluxe Edition),7.8,2024,['Special edition'],January,84,,,,
The Darkside Detective,7.8,2018,['Adventure'],July,79,['Side view'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],['Fantasy']
Night in the Woods,7.8,2018,['Adventure'],February,82,['Side view'],['Graphic adventure'],,['Fantasy']
Overboard!,7.8,2021,['Adventure'],June,86,"['1st-person', '3rd-person', 'Side view', 'Top-down']","['Interactive fiction / text adventure', 'Puzzle elements']",['Point and select'],
Melatonin,7.8,2022,['Action'],December,82,"['1st-person', 'Diagonal-down', 'Side view']",['Music / rhythm'],['Direct control'],
Ys VIII: Lacrimosa of Dana,7.9,2018,['Role-playing (RPG)'],July,84,['Behind view'],"['Action', 'Role-playing', 'Hack and slash']",['Direct control'],['Fantasy']
Moon: Remix RPG Adventure,7.9,2019,['Adventure'],October,82,"['3rd-person', 'Top-down']",,,"['Fantasy', 'Sci-fi / futuristic']"
Lil' Guardsman,7.9,2024,['Adventure'],January,85,['Side view'],"['Puzzle elements', 'Role-playing elements']",['Point and select'],['Fantasy']
NeuroVoider,7.9,2017,['Action'],August,82,['Diagonal-down'],"['Arcade', 'Shooter']",,['Sci-fi / futuristic']
Snufkin: Melody of Moominvalley,7.9,2024,['Adventure'],March,82,['3rd-person'],,['Direct control'],['Fantasy']
Terraria,7.9,2019,['Action'],May,82,['Side view'],"['Platform', 'Role-playing elements', 'Sandbox / open world']",,['Fantasy']
Killer Queen Black,7.9,2019,"['Action', 'Strategy / tactics']",October,86,['Side view'],"['Arcade', 'Platform']","['Direct control', 'Multiple units/characters control']",['Fantasy']
Crawl,7.9,2017,['Action'],August,85,['Diagonal-down'],"['Hack and slash', 'Role-playing elements']",,['Fantasy']
Vengeful Guardian: Moonrider,7.9,2023,['Action'],January,80,['Side view'],"['Metroidvania', 'Platform']",['Direct control'],['Sci-fi / futuristic']
