Title,Score,Year,Genre,Released,Critics,Perspective,Gameplay,Interface,Setting
Yoshi's Crafted World,7.9,2019,['Action'],March,81,"['3rd-person', 'Side view']","['Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Owlboy,7.9,2018,['Action'],November,85,['Side view'],"['Metroidvania', 'Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Shin Megami Tensei: Persona 3 - Portable,7.9,2023,['Role-playing (RPG)'],November,87,['Diagonal-down'],"['Japanese-style', 'Role-playing']",,
Wilmot's Warehouse,7.9,2019,['Puzzle'],October,85,['Top-down'],,['Direct control'],
Mega Man X: Legacy Collection,7.9,2018,"['Action', 'Compilation']",July,86,['Side view'],['Platform'],,['Sci-fi / futuristic']
Final Fantasy VII,7.9,2019,['Role-playing (RPG)'],1997,92,['3rd-person'],"['Japanese-style', 'Role-playing']",,"['Cyberpunk / dark sci-fi', 'Fantasy', 'Sci-fi / futuristic']"
Lumines: Remastered,7.9,2018,"['Action', 'Puzzle']",June,84,['3rd-person'],,['Direct control'],
Hyrule Warriors: Age of Calamity,7.9,2020,['Action'],November,80,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
The Great Ace Attorney Chronicles,7.9,2021,"['Adventure', 'Compilation']",July,86,['3rd-person'],['Puzzle elements'],,
Iconoclasts,7.9,2018,['Action'],January,82,['Side view'],"['Metroidvania', 'Platform']",,['Sci-fi / futuristic']
Fight'N Rage,7.9,2019,['Action'],September,81,['Side view'],"[""Beat 'em up / brawler""]",['Direct control'],
Mini Metro,7.9,2018,['Strategy / tactics'],August,82,['Top-down'],,,
Tales of Vesperia: Definitive Edition,7.9,2019,['Role-playing (RPG)'],January,84,['3rd-person'],"['Action', 'Role-playing']",['Direct control'],['Fantasy']
Into the Breach,7.9,2018,['Strategy / tactics'],February,87,['Diagonal-down'],"['Role-playing elements', 'Turn-based tactics']",['Point and select'],['Sci-fi / futuristic']
No More Heroes,7.9,2020,"['Action', 'Racing / Driving']",December,82,"['1st-person', 'Behind view']","['Hack and slash', 'Quick', 'Time', 'Events']",,
Rive: Ultimate Edition,7.9,2017,['Action'],November,82,['Side view'],"['Platform', 'Shooter']",,
Sayonara Wild Hearts,7.9,2019,"['Action', 'Racing / Driving']",September,85,"['1st-person', '3rd-person', 'Behind view']","['Arcade', 'Fighting', 'Shooter']",['Direct control'],['Fantasy']
Torchlight II,7.9,2019,['Role-playing (RPG)'],September,85,['Diagonal-down'],"['Action', 'Role-playing', 'Hack and slash']",['Point and select'],['Fantasy']
Phoenix Wright: Ace Attorney Trilogy,7.9,2019,"['Adventure', 'Simulation', 'Compilation']",May,84,['1st-person'],['Puzzle elements'],,
Pikmin 1+2,7.9,2023,['Compilation'],June,85,,,,
Dungeons of Dreadrock,7.9,2022,"['Action', 'Role-playing (RPG)']",January,81,['Top-down'],['Puzzle elements'],['Direct control'],['Fantasy']
Citizen Sleeper,7.9,2022,['Role-playing (RPG)'],May,82,['Diagonal-down'],,"['Menu structures', 'Point and select']",['Cyberpunk / dark sci-fi']
Atelier Mysterious Trilogy Deluxe Pack,7.9,2021,['Compilation'],April,82,,,,
The Alliance Alive: HD Remastered,7.9,2019,['Role-playing (RPG)'],October,79,['3rd-person'],"['Japanese-style', 'Role-playing']",,['Fantasy']
Crypt Custodian,7.9,2024,['Action'],August,84,['Diagonal-down'],"['Metroidvania', 'Puzzle elements', 'Role-playing elements']",['Direct control'],['Fantasy']
Genesis Noir,7.8,2021,['Adventure'],March,79,"['3rd-person', 'Side view']",['Puzzle elements'],['Point and select'],['Fantasy']
Sam & Max: Save the World,7.9,2020,"['Adventure', 'Compilation']",December,82,['3rd-person'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],
Bravely Default II,7.8,2021,['Role-playing (RPG)'],February,80,['3rd-person'],,['Direct control'],['Fantasy']
Monster Hunter: Stories 2 - Wings of Ruin,7.8,2021,['Role-playing (RPG)'],July,81,['3rd-person'],"['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
Darkest Dungeon,7.8,2018,['Role-playing (RPG)'],February,83,['Side view'],"['Tactical', 'Role-playing']",['Point and select'],['Fantasy']
"Root Double: Before Crime, After Days - Xtend Edition",7.8,2020,['Adventure'],June,80,['1st-person'],['Visual novel'],,
Shantae: 1/2 Genie Hero - Ultimate Edition,7.8,2018,"['Compilation', 'Special edition']",April,84,,,,
Hyrule Warriors: Definitive Edition,7.8,2018,['Action'],March,82,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
Superlative Night Dreams: Cotton Rock'n Roll,7.8,2021,['Action'],September,81,['Side view'],"['Arcade', 'Shooter']",['Direct control'],['Fantasy']
Worms: W.M.D.,7.8,2017,['Strategy / tactics'],August,79,['Side view'],['Artillery'],"['Direct control', 'Multiple units/characters control']",
Tunic,7.8,2022,['Action'],March,85,['Diagonal-down'],"['Metroidvania', 'Puzzle elements']",['Direct control'],['Fantasy']
Ace Combat 7: Skies Unknown (Deluxe Edition),7.8,2024,['Special edition'],January,84,,,,
The Darkside Detective,7.8,2018,['Adventure'],July,79,['Side view'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],['Fantasy']
Night in the Woods,7.8,2018,['Adventure'],February,82,['Side view'],['Graphic adventure'],,['Fantasy']
Overboard!,7.8,2021,['Adventure'],June,86,"['1st-person', '3rd-person', 'Side view', 'Top-down']","['Interactive fiction / text adventure', 'Puzzle elements']",['Point and select'],
Melatonin,7.8,2022,['Action'],December,82,"['1st-person', 'Diagonal-down', 'Side view']",['Music / rhythm'],['Direct control'],
Ys VIII: Lacrimosa of Dana,7.9,2018,['Role-playing (RPG)'],July,84,['Behind view'],"['Action', 'Role-playing', 'Hack and slash']",['Direct control'],['Fantasy']
Moon: Remix RPG Adventure,7.9,2019,['Adventure'],October,82,"['3rd-person', 'Top-down']",,,"['Fantasy', 'Sci-fi / futuristic']"
Lil' Guardsman,7.9,2024,['Adventure'],January,85,['Side view'],"['Puzzle elements', 'Role-playing elements']",['Point and select'],['Fantasy']
NeuroVoider,7.9,2017,['Action'],August,82,['Diagonal-down'],"['Arcade', 'Shooter']",,['Sci-fi / futuristic']
Snufkin: Melody of Moominvalley,7.9,2024,['Adventure'],March,82,['3rd-person'],,['Direct control'],['Fantasy']
Terraria,7.9,2019,['Action'],May,82,['Side view'],"['Platform', 'Role-playing elements', 'Sandbox / open world']",,['Fantasy']
Killer Queen Black,7.9,2019,"['Action', 'Strategy / tactics']",October,86,['Side view'],"['Arcade', 'Platform']","['Direct control', 'Multiple units/characters control']",['Fantasy']
Crawl,7.9,2017,['Action'],August,85,['Diagonal-down'],"['Hack and slash', 'Role-playing elements']",,['Fantasy']
Vengeful Guardian: Moonrider,7.9,2023,['Action'],January,80,['Side view'],"['Metroidvania', 'Platform']",['Direct control'],['Sci-fi / futuristic']
Yoshi's Crafted World,7.9,2019,['Action'],March,81,"['3rd-person', 'Side view']","['Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Owlboy,7.9,2018,['Action'],November,85,['Side view'],"['Metroidvania', 'Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Shin Megami Tensei: Persona 3 - Portable,7.9,2023,['Role-playing (RPG)'],November,87,['Diagonal-down'],"['Japanese-style', 'Role-playing']",,
Wilmot's Warehouse,7.9,2019,['Puzzle'],October,85,['Top-down'],,['Direct control'],
Mega Man X: Legacy Collection,7.9,2018,"['Action', 'Compilation']",July,86,['Side view'],['Platform'],,['Sci-fi / futuristic']
Final Fantasy VII,7.9,2019,['Role-playing (RPG)'],1997,92,['3rd-person'],"['Japanese-style', 'Role-playing']",,"['Cyberpunk / dark sci-fi', 'Fantasy', 'Sci-fi / futuristic']"
Lumines: Remastered,7.9,2018,"['Action', 'Puzzle']",June,84,['3rd-person'],,['Direct control'],
Hyrule Warriors: Age of Calamity,7.9,2020,['Action'],November,80,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
The Great Ace Attorney Chronicles,7.9,2021,"['Adventure', 'Compilation']",July,86,['3rd-person'],['Puzzle elements'],,
Iconoclasts,7.9,2018,['Action'],January,82,['Side view'],"['Metroidvania', 'Platform']",,['Sci-fi / futuristic']
Fight'N Rage,7.9,2019,['Action'],September,81,['Side view'],"[""Beat 'em up / brawler""]",['Direct control'],
Mini Metro,7.9,2018,['Strategy / tactics'],August,82,['Top-down'],,,
Tales of Vesperia: Definitive Edition,7.9,2019,['Role-playing (RPG)'],January,84,['3rd-person'],"['Action', 'Role-playing']",['Direct control'],['Fantasy']
Into the Breach,7.9,2018,['Strategy / tactics'],February,87,['Diagonal-down'],"['Role-playing elements', 'Turn-based tactics']",['Point and select'],['Sci-fi / futuristic']
No More Heroes,7.9,2020,"['Action', 'Racing / Driving']",December,82,"['1st-person', 'Behind view']","['Hack and slash', 'Quick', 'Time', 'Events']",,
Rive: Ultimate Edition,7.9,2017,['Action'],November,82,['Side view'],"['Platform', 'Shooter']",,
Sayonara Wild Hearts,7.9,2019,"['Action', 'Racing / Driving']",September,85,"['1st-person', '3rd-person', 'Behind view']","['Arcade', 'Fighting', 'Shooter']",['Direct control'],['Fantasy']
Torchlight II,7.9,2019,['Role-playing (RPG)'],September,85,['Diagonal-down'],"['Action', 'Role-playing', 'Hack and slash']",['Point and select'],['Fantasy']
Phoenix Wright: Ace Attorney Trilogy,7.9,2019,"['Adventure', 'Simulation', 'Compilation']",May,84,['1st-person'],['Puzzle elements'],,
Pikmin 1+2,7.9,2023,['Compilation'],June,85,,,,
Dungeons of Dreadrock,7.9,2022,"['Action', 'Role-playing (RPG)']",January,81,['Top-down'],['Puzzle elements'],['Direct control'],['Fantasy']
Citizen Sleeper,7.9,2022,['Role-playing (RPG)'],May,82,['Diagonal-down'],,"['Menu structures', 'Point and select']",['Cyberpunk / dark sci-fi']
Atelier Mysterious Trilogy Deluxe Pack,7.9,2021,['Compilation'],April,82,,,,
The Alliance Alive: HD Remastered,7.9,2019,['Role-playing (RPG)'],October,79,['3rd-person'],"['Japanese-style', 'Role-playing']",,['Fantasy']
Crypt Custodian,7.9,2024,['Action'],August,84,['Diagonal-down'],"['Metroidvania', 'Puzzle elements', 'Role-playing elements']",['Direct control'],['Fantasy']
Genesis Noir,7.8,2021,['Adventure'],March,79,"['3rd-person', 'Side view']",['Puzzle elements'],['Point and select'],['Fantasy']
Sam & Max: Save the World,7.9,2020,"['Adventure', 'Compilation']",December,82,['3rd-person'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],
Bravely Default II,7.8,2021,['Role-playing (RPG)'],February,80,['3rd-person'],,['Direct control'],['Fantasy']
Monster Hunter: Stories 2 - Wings of Ruin,7.8,2021,['Role-playing (RPG)'],July,81,['3rd-person'],"['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
Darkest Dungeon,7.8,2018,['Role-playing (RPG)'],February,83,['Side view'],"['Tactical', 'Role-playing']",['Point and select'],['Fantasy']
"Root Double: Before Crime, After Days - Xtend Edition",7.8,2020,['Adventure'],June,80,['1st-person'],['Visual novel'],,
Shantae: 1/2 Genie Hero - Ultimate Edition,7.8,2018,"['Compilation', 'Special edition']",April,84,,,,
Hyrule Warriors: Definitive Edition,7.8,2018,['Action'],March,82,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
Superlative Night Dreams: Cotton Rock'n Roll,7.8,2021,['Action'],September,81,['Side view'],"['Arcade', 'Shooter']",['Direct control'],['Fantasy']
Worms: W.M.D.,7.8,2017,['Strategy / tactics'],August,79,['Side view'],['Artillery'],"['Direct control', 'Multiple units/characters control']",
Tunic,7.8,2022,['Action'],March,85,['Diagonal-down'],"['Metroidvania', 'Puzzle elements']",['Direct control'],['Fantasy']
Ace Combat 7: Skies Unknown (Deluxe Edition),7.8,2024,['Special edition'],January,84,,,,
The Darkside Detective,7.8,2018,['Adventure'],July,79,['Side view'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],['Fantasy']
Night in the Woods,7.8,2018,['Adventure'],February,82,['Side view'],['Graphic adventure'],,['Fantasy']
Overboard!,7.8,2021,['Adventure'],June,86,"['1st-person', '3rd-person', 'Side view', 'Top-down']","['Interactive fiction / text adventure', 'Puzzle elements']",['Point and select'],
Melatonin,7.8,2022,['Action'],December,82,"['1st-person', 'Diagonal-down', 'Side view']",['Music / rhythm'],['Direct control'],
Ys VIII: Lacrimosa of Dana,7.9,2018,['Role-playing (RPG)'],July,84,['Behind view'],"['Action', 'Role-playing', 'Hack and slash']",['Direct control'],['Fantasy']
Moon: Remix RPG Adventure,7.9,2019,['Adventure'],October,82,"['3rd-person', 'Top-down']",,,"['Fantasy', 'Sci-fi / futuristic']"
Lil' Guardsman,7.9,2024,['Adventure'],January,85,['Side view'],"['Puzzle elements', 'Role-playing elements']",['Point and select'],['Fantasy']
NeuroVoider,7.9,2017,['Action'],August,82,['Diagonal-down'],"['Arcade', 'Shooter']",,['Sci-fi / futuristic']
Snufkin: Melody of Moominvalley,7.9,2024,['Adventure'],March,82,['3rd-person'],,['Direct control'],['Fantasy']
Terraria,7.9,2019,['Action'],May,82,['Side view'],"['Platform', 'Role-playing elements', 'Sandbox / open world']",,['Fantasy']
Killer Queen Black,7.9,2019,"['Action', 'Strategy / tactics']",October,86,['Side view'],"['Arcade', 'Platform']","['Direct control', 'Multiple units/characters control']",['Fantasy']
Crawl,7.9,2017,['Action'],August,85,['Diagonal-down'],"['Hack and slash', 'Role-playing elements']",,['Fantasy']
Vengeful Guardian: Moonrider,7.9,2023,['Action'],January,80,['Side view'],"['Metroidvania', 'Platform']",['Direct control'],['Sci-fi / futuristic']
Yoshi's Crafted World,7.9,2019,['Action'],March,81,"['3rd-person', 'Side view']","['Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Owlboy,7.9,2018,['Action'],November,85,['Side view'],"['Metroidvania', 'Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Shin Megami Tensei: Persona 3 - Portable,7.9,2023,['Role-playing (RPG)'],November,87,['Diagonal-down'],"['Japanese-style', 'Role-playing']",,
Wilmot's Warehouse,7.9,2019,['Puzzle'],October,85,['Top-down'],,['Direct control'],
Mega Man X: Legacy Collection,7.9,2018,"['Action', 'Compilation']",July,86,['Side view'],['Platform'],,['Sci-fi / futuristic']
Final Fantasy VII,7.9,2019,['Role-playing (RPG)'],1997,92,['3rd-person'],"['Japanese-style', 'Role-playing']",,"['Cyberpunk / dark sci-fi', 'Fantasy', 'Sci-fi / futuristic']"
Lumines: Remastered,7.9,2018,"['Action', 'Puzzle']",June,84,['3rd-person'],,['Direct control'],
Hyrule Warriors: Age of Calamity,7.9,2020,['Action'],November,80,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
The Great Ace Attorney Chronicles,7.9,2021,"['Adventure', 'Compilation']",July,86,['3rd-person'],['Puzzle elements'],,
Iconoclasts,7.9,2018,['Action'],January,82,['Side view'],"['Metroidvania', 'Platform']",,['Sci-fi / futuristic']
Fight'N Rage,7.9,2019,['Action'],September,81,['Side view'],"[""Beat 'em up / brawler""]",['Direct control'],
Mini Metro,7.9,2018,['Strategy / tactics'],August,82,['Top-down'],,,
Tales of Vesperia: Definitive Edition,7.9,2019,['Role-playing (RPG)'],January,84,['3rd-person'],"['Action', 'Role-playing']",['Direct control'],['Fantasy']
Into the Breach,7.9,2018,['Strategy / tactics'],February,87,['Diagonal-down'],"['Role-playing elements', 'Turn-based tactics']",['Point and select'],['Sci-fi / futuristic']
No More Heroes,7.9,2020,"['Action', 'Racing / Driving']",December,82,"['1st-person', 'Behind view']","['Hack and slash', 'Quick', 'Time', 'Events']",,
Rive: Ultimate Edition,7.9,2017,['Action'],November,82,['Side view'],"['Platform', 'Shooter']",,
Sayonara Wild Hearts,7.9,2019,"['Action', 'Racing / Driving']",September,85,"['1st-person', '3rd-person', 'Behind view']","['Arcade', 'Fighting', 'Shooter']",['Direct control'],['Fantasy']
Torchlight II,7.9,2019,['Role-playing (RPG)'],September,85,['Diagonal-down'],"['Action', 'Role-playing', 'Hack and slash']",['Point and select'],['Fantasy']
Phoenix Wright: Ace Attorney Trilogy,7.9,2019,"['Adventure', 'Simulation', 'Compilation']",May,84,['1st-person'],['Puzzle elements'],,
Pikmin 1+2,7.9,2023,['Compilation'],June,85,,,,
Dungeons of Dreadrock,7.9,2022,"['Action', 'Role-playing (RPG)']",January,81,['Top-down'],['Puzzle elements'],['Direct control'],['Fantasy']
Citizen Sleeper,7.9,2022,['Role-playing (RPG)'],May,82,['Diagonal-down'],,"['Menu structures', 'Point and select']",['Cyberpunk / dark sci-fi']
Atelier Mysterious Trilogy Deluxe Pack,7.9,2021,['Compilation'],April,82,,,,
The Alliance Alive: HD Remastered,7.9,2019,['Role-playing (RPG)'],October,79,['3rd-person'],"['Japanese-style', 'Role-playing']",,['Fantasy']
Crypt Custodian,7.9,2024,['Action'],August,84,['Diagonal-down'],"['Metroidvania', 'Puzzle elements', 'Role-playing elements']",['Direct control'],['Fantasy']
Genesis Noir,7.8,2021,['Adventure'],March,79,"['3rd-person', 'Side view']",['Puzzle elements'],['Point and select'],['Fantasy']
Sam & Max: Save the World,7.9,2020,"['Adventure', 'Compilation']",December,82,['3rd-person'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],
Bravely Default II,7.8,2021,['Role-playing (RPG)'],February,80,['3rd-person'],,['Direct control'],['Fantasy']
Monster Hunter: Stories 2 - Wings of Ruin,7.8,2021,['Role-playing (RPG)'],July,81,['3rd-person'],"['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
Darkest Dungeon,7.8,2018,['Role-playing (RPG)'],February,83,['Side view'],"['Tactical', 'Role-playing']",['Point and select'],['Fantasy']
"Root Double: Before Crime, After Days - Xtend Edition",7.8,2020,['Adventure'],June,80,['1st-person'],['Visual novel'],,
Shantae: 1/2 Genie Hero - Ultimate Edition,7.8,2018,"['Compilation', 'Special edition']",April,84,,,,
Hyrule Warriors: Definitive Edition,7.8,2018,['Action'],March,82,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
Superlative Night Dreams: Cotton Rock'n Roll,7.8,2021,['Action'],September,81,['Side view'],"['Arcade', 'Shooter']",['Direct control'],['Fantasy']
Worms: W.M.D.,7.8,2017,['Strategy / tactics'],August,79,['Side view'],['Artillery'],"['Direct control', 'Multiple units/characters control']",
Tunic,7.8,2022,['Action'],March,85,['Diagonal-down'],"['Metroidvania', 'Puzzle elements']",['Direct control'],['Fantasy']
Ace Combat 7: Skies Unknown (Deluxe Edition),7.8,2024,['Special edition'],January,84,,,,
The Darkside Detective,7.8,2018,['Adventure'],July,79,['Side view'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],['Fantasy']
Night in the Woods,7.8,2018,['Adventure'],February,82,['Side view'],['Graphic adventure'],,['Fantasy']
Overboard!,7.8,2021,['Adventure'],June,86,"['1st-person', '3rd-person', 'Side view', 'Top-down']","['Interactive fiction / text adventure', 'Puzzle elements']",['Point and select'],
Melatonin,7.8,2022,['Action'],December,82,"['1st-person', 'Diagonal-down', 'Side view']",['Music / rhythm'],['Direct control'],
Ys VIII: Lacrimosa of Dana,7.9,2018,['Role-playing (RPG)'],July,84,['Behind view'],"['Action', 'Role-playing', 'Hack and slash']",['Direct control'],['Fantasy']
Moon: Remix RPG Adventure,7.9,2019,['Adventure'],October,82,"['3rd-person', 'Top-down']",,,"['Fantasy', 'Sci-fi / futuristic']"
Lil' Guardsman,7.9,2024,['Adventure'],January,85,['Side view'],"['Puzzle elements', 'Role-playing elements']",['Point and select'],['Fantasy']
NeuroVoider,7.9,2017,['Action'],August,82,['Diagonal-down'],"['Arcade', 'Shooter']",,['Sci-fi / futuristic']
Snufkin: Melody of Moominvalley,7.9,2024,['Adventure'],March,82,['3rd-person'],,['Direct control'],['Fantasy']
Terraria,7.9,2019,['Action'],May,82,['Side view'],"['Platform', 'Role-playing elements', 'Sandbox / open world']",,['Fantasy']
Killer Queen Black,7.9,2019,"['Action', 'Strategy / tactics']",October,86,['Side view'],"['Arcade', 'Platform']","['Direct control', 'Multiple units/characters control']",['Fantasy']
Crawl,7.9,2017,['Action'],August,85,['Diagonal-down'],"['Hack and slash', 'Role-playing elements']",,['Fantasy']
Vengeful Guardian: Moonrider,7.9,2023,['Action'],January,80,['Side view'],"['Metroidvania', 'Platform']",['Direct control'],['Sci-fi / futuristic']
Yoshi's Crafted World,7.9,2019,['Action'],March,81,"['3rd-person', 'Side view']","['Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Owlboy,7.9,2018,['Action'],November,85,['Side view'],"['Metroidvania', 'Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Shin Megami Tensei: Persona 3 - Portable,7.9,2023,['Role-playing (RPG)'],November,87,['Diagonal-down'],"['Japanese-style', 'Role-playing']",,
Wilmot's Warehouse,7.9,2019,['Puzzle'],October,85,['Top-down'],,['Direct control'],
Mega Man X: Legacy Collection,7.9,2018,"['Action', 'Compilation']",July,86,['Side view'],['Platform'],,['Sci-fi / futuristic']
Final Fantasy VII,7.9,2019,['Role-playing (RPG)'],1997,92,['3rd-person'],"['Japanese-style', 'Role-playing']",,"['Cyberpunk / dark sci-fi', 'Fantasy', 'Sci-fi / futuristic']"
Lumines: Remastered,7.9,2018,"['Action', 'Puzzle']",June,84,['3rd-person'],,['Direct control'],
Hyrule Warriors: Age of Calamity,7.9,2020,['Action'],November,80,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
The Great Ace Attorney Chronicles,7.9,2021,"['Adventure', 'Compilation']",July,86,['3rd-person'],['Puzzle elements'],,
Iconoclasts,7.9,2018,['Action'],January,82,['Side view'],"['Metroidvania', 'Platform']",,['Sci-fi / futuristic']
Fight'N Rage,7.9,2019,['Action'],September,81,['Side view'],"[""Beat 'em up / brawler""]",['Direct control'],
Mini Metro,7.9,2018,['Strategy / tactics'],August,82,['Top-down'],,,
Tales of Vesperia: Definitive Edition,7.9,2019,['Role-playing (RPG)'],January,84,['3rd-person'],"['Action', 'Role-playing']",['Direct control'],['Fantasy']
Into the Breach,7.9,2018,['Strategy / tactics'],February,87,['Diagonal-down'],"['Role-playing elements', 'Turn-based tactics']",['Point and select'],['Sci-fi / futuristic']
No More Heroes,7.9,2020,"['Action', 'Racing / Driving']",December,82,"['1st-person', 'Behind view']","['Hack and slash', 'Quick', 'Time', 'Events']",,
Rive: Ultimate Edition,7.9,2017,['Action'],November,82,['Side view'],"['Platform', 'Shooter']",,
Sayonara Wild Hearts,7.9,2019,"['Action', 'Racing / Driving']",September,85,"['1st-person', '3rd-person', 'Behind view']","['Arcade', 'Fighting', 'Shooter']",['Direct control'],['Fantasy']
Torchlight II,7.9,2019,['Role-playing (RPG)'],September,85,['Diagonal-down'],"['Action', 'Role-playing', 'Hack and slash']",['Point and select'],['Fantasy']
Phoenix Wright: Ace Attorney Trilogy,7.9,2019,"['Adventure', 'Simulation', 'Compilation']",May,84,['1st-person'],['Puzzle elements'],,
Pikmin 1+2,7.9,2023,['Compilation'],June,85,,,,
Dungeons of Dreadrock,7.9,2022,"['Action', 'Role-playing (RPG)']",January,81,['Top-down'],['Puzzle elements'],['Direct control'],['Fantasy']
Citizen Sleeper,7.9,2022,['Role-playing (RPG)'],May,82,['Diagonal-down'],,"['Menu structures', 'Point and select']",['Cyberpunk / dark sci-fi']
Atelier Mysterious Trilogy Deluxe Pack,7.9,2021,['Compilation'],April,82,,,,
The Alliance Alive: HD Remastered,7.9,2019,['Role-playing (RPG)'],October,79,['3rd-person'],"['Japanese-style', 'Role-playing']",,['Fantasy']
Crypt Custodian,7.9,2024,['Action'],August,84,['Diagonal-down'],"['Metroidvania', 'Puzzle elements', 'Role-playing elements']",['Direct control'],['Fantasy']
Genesis Noir,7.8,2021,['Adventure'],March,79,"['3rd-person', 'Side view']",['Puzzle elements'],['Point and select'],['Fantasy']
Sam & Max: Save the World,7.9,2020,"['Adventure', 'Compilation']",December,82,['3rd-person'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],
Bravely Default II,7.8,2021,['Role-playing (RPG)'],February,80,['3rd-person'],,['Direct control'],['Fantasy']
Monster Hunter: Stories 2 - Wings of Ruin,7.8,2021,['Role-playing (RPG)'],July,81,['3rd-person'],"['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
Darkest Dungeon,7.8,2018,['Role-playing (RPG)'],February,83,['Side view'],"['Tactical', 'Role-playing']",['Point and select'],['Fantasy']
"Root Double: Before Crime, After Days - Xtend Edition",7.8,2020,['Adventure'],June,80,['1st-person'],['Visual novel'],,
Shantae: 1/2 Genie Hero - Ultimate Edition,7.8,2018,"['Compilation', 'Special edition']",April,84,,,,
Hyrule Warriors: Definitive Edition,7.8,2018,['Action'],March,82,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
Superlative Night Dreams: Cotton Rock'n Roll,7.8,2021,['Action'],September,81,['Side view'],"['Arcade', 'Shooter']",['Direct control'],['Fantasy']
Worms: W.M.D.,7.8,2017,['Strategy / tactics'],August,79,['Side view'],['Artillery'],"['Direct control', 'Multiple units/characters control']",
Tunic,7.8,2022,['Action'],March,85,['Diagonal-down'],"['Metroidvania', 'Puzzle elements']",['Direct control'],['Fantasy']
Ace Combat 7: Skies Unknown (Deluxe Edition),7.8,2024,['Special edition'],January,84,,,,
The Darkside Detective,7.8,2018,['Adventure'],July,79,['Side view'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],['Fantasy']
Night in the Woods,7.8,2018,['Adventure'],February,82,['Side view'],['Graphic adventure'],,['Fantasy']
Overboard!,7.8,2021,['Adventure'],June,86,"['1st-person', '3rd-person', 'Side view', 'Top-down']","['Interactive fiction / text adventure', 'Puzzle elements']",['Point and select'],
Melatonin,7.8,2022,['Action'],December,82,"['1st-person', 'Diagonal-down', 'Side view']",['Music / rhythm'],['Direct control'],
